Designator,Value,LCSC
"C1,C3,C4,C19,C29,C34,C36",0.1uF,C1525
"C2,C10,C22,C24,C26,C27,C33,C35",10uF,C315248
"C5,C13,C41,C51",22uF,C86295
"C6,C7,C9,C12,C17",100uF,C7432784
"C8,C18,C46",2.2uF,C1607
"C11,C14,C15,C16,C43,C44,C45,C47",470nF,C47339
C21,10u_0402_CL05A105KA5NQNC,C52923
"C23,C53,C54,C56,C57",10u_0402_CL05A105KA5NQNC,C52923
C42,27pF,C1656
C48,22p_0402_0402CG220J500NT,C1555
"D1,D2,D3,D4,D5,D6",SOD-523_BSD5C051L,C151983
D7,ESD9L3.3ST5G,C233387
FB1,Ferrite_Bead,C44838
J1,1984617,
J3,Conn_01x03_Female,
J4,Conn_01x06_Pin,
J8,AFC01-S24FCC-00,C262276
J10,TF PUSH,C393941
L2,L,C48020
"Q1,Q2",L8050QLT1G,C49581
R1,0.5R,C2934253
"R2,R4",10K,C25744
"R3,R5,R16,R17,R18,R20,R21,R24,R25,R26",10K,C25744
"R10,R11,R13,R14,R15",5.1K,C25905
"R12,R27,R35",4K7,C99782
R22,620K,C68737
R29,1K,C21190
"R32,R33",130K,C22795
R34,75,C137841
SW1,TS36CA-0.7,C412365
"SW3,SW6,SW7,SW8",TS-1088-AR02016,C720477
"U1,U3",CH343P,C2846043
U4,LMP7731MF,C202252
U5,B0505S-1W_C512032,C512032
U9,AP63203WU,C780769
U12,MAX9814,C41714
U13,STM32F301K8Ux,C111684
U14,ESP32-S3-WROOM-1U-N8R8,C2980300
U15,XC6206P282MR-G,C2891263
U16,XC6206P122MR-G,C424699
"USB1,USB2",TYPE-C 16PIN 2MD(073),C2765186
