Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,-1.54,23.88,-90,bottom
J8,AFC01-S24FCC-00,FPC-SMD_P0.5-24P_FGS-XJ-H2.0,1,-0.02,0,bottom
C1,10u_0402_CL05A105KA5NQNC,C_0402_1005Metric,3.3,-15,180,top
C2,10uF,C_0402_1005Metric,-3.8,-1.92,-90,top
C4,0.1uF,C_0402_1005Metric,-5.78,3.18,0,top
C5,22uF,C_0603_1608Metric,4.7,20.58,0,top
C6,100uF,C_1206_3216Metric,-22.6,-14.895,-90,top
C7,100uF,C_1206_3216Metric,-17.8,-14.895,-90,top
C8,2.2uF,C_0603_1608Metric,17.355,20.28,0,top
C9,100uF,C_1206_3216Metric,-20.2,-14.895,-90,top
C10,10uF,C_0402_1005Metric,-20.84,-10.75,90,top
C11,470nF,C_0402_1005Metric,1.1,21.18,180,top
C12,100uF,C_1206_3216Metric,-15.4,-14.77,-90,top
C13,22uF,C_0603_1608Metric,7.4,17.055,90,top
C14,470nF,C_0402_1005Metric,-10.034375,15.683125,-90,top
C15,470nF,C_0402_1005Metric,-17.396875,11.245625,90,top
C16,470nF,C_0402_1005Metric,-12.634375,9.583125,0,top
C17,100uF,C_1206_3216Metric,-13,-14.77,-90,top
C18,2.2uF,C_0603_1608Metric,17.355,18.68,0,top
C19,0.1uF,C_0402_1005Metric,-19.18,17.98,0,top
C21,10u_0402_CL05A105KA5NQNC,C_0402_1005Metric,-5.58,-8.7,0,top
C22,10uF,C_0402_1005Metric,7.58,22.98,180,top
C23,10u_0402_CL05A105KA5NQNC,C_0402_1005Metric,17.39,13.32,90,top
C24,10uF,C_0402_1005Metric,-17.1,-8.02,0,top
C26,10uF,C_0402_1005Metric,-1.685982,3.46,-90,top
C27,10uF,C_0402_1005Metric,4.51,-9.67,0,top
C29,0.1uF,C_0402_1005Metric,4.53,-8.57,0,top
