Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical",-1.540000,23.880000,-90.000000,bottom
"J8","AFC01-S24FCC-00","FPC-SMD_P0.5-24P_FGS-XJ-H2.0",1.000000,-0.020000,0.000000,bottom
"C1","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",3.300000,-15.000000,180.000000,top
"C2","10uF","C_0402_1005Metric",-3.800000,-1.920000,-90.000000,top
"C3","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",15.195000,-13.600000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",-5.780000,3.180000,0.000000,top
"C5","22uF","C_0603_1608Metric",4.700000,20.580000,0.000000,top
"C6","100uF","C_1206_3216Metric",-22.600000,-14.895000,-90.000000,top
"C7","100uF","C_1206_3216Metric",-17.800000,-14.895000,-90.000000,top
"C8","2.2uF","C_0603_1608Metric",17.355000,20.280000,0.000000,top
"C9","100uF","C_1206_3216Metric",-20.200000,-14.895000,-90.000000,top
"C10","10uF","C_0402_1005Metric",-20.840000,-10.750000,90.000000,top
"C11","470nF","C_0402_1005Metric",1.100000,21.180000,180.000000,top
"C12","100uF","C_1206_3216Metric",-15.400000,-14.770000,-90.000000,top
"C13","22uF","C_0603_1608Metric",7.400000,17.055000,90.000000,top
"C14","470nF","C_0402_1005Metric",-10.034375,15.683125,-90.000000,top
"C15","470nF","C_0402_1005Metric",-17.396875,11.245625,90.000000,top
"C16","470nF","C_0402_1005Metric",-12.634375,9.583125,0.000000,top
"C17","100uF","C_1206_3216Metric",-13.000000,-14.770000,-90.000000,top
"C18","2.2uF","C_0603_1608Metric",17.355000,18.680000,0.000000,top
"C19","0.1uF","C_0402_1005Metric",-19.180000,17.980000,0.000000,top
"C21","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",-5.580000,-8.700000,0.000000,top
"C22","10uF","C_0402_1005Metric",7.580000,22.980000,180.000000,top
"C23","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",17.390000,13.320000,90.000000,top
"C24","10uF","C_0402_1005Metric",-17.100000,-8.020000,0.000000,top
"C25","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",13.725000,-10.900000,180.000000,top
"C26","10uF","C_0402_1005Metric",-1.685982,3.460000,-90.000000,top
"C27","10uF","C_0402_1005Metric",4.510000,-9.670000,0.000000,top
"C29","0.1uF","C_0402_1005Metric",4.530000,-8.570000,0.000000,top
"C33","10uF","C_0402_1005Metric",-6.085982,7.488707,90.000000,top
"C34","0.1uF","C_0402_1005Metric",-5.085982,7.488707,90.000000,top
"C35","10uF","C_0402_1005Metric",-6.244025,1.768454,90.000000,top
"C36","0.1uF","C_0402_1005Metric",-5.244025,1.768454,90.000000,top
"C41","22uF","C_0603_1608Metric",-10.549843,-8.720000,-90.000000,top
"C42","27pF","C_0603_1608Metric",2.337500,17.105000,90.000000,top
"C43","470nF","C_0402_1005Metric",-5.412500,21.747500,90.000000,top
"C44","470nF","C_0402_1005Metric",-2.512500,16.597500,0.000000,top
"C45","470nF","C_0402_1005Metric",-2.612500,18.097500,-90.000000,top
"C46","2.2uF","C_0603_1608Metric",-6.662500,22.317500,90.000000,top
"C47","470nF","C_0402_1005Metric",-8.200000,17.580000,-90.000000,top
"C48","22p_0402_0402CG220J500NT","C_0402_1005Metric",0.400000,4.280000,90.000000,top
"C51","22uF","C_0603_1608Metric",-9.030000,-8.720000,-90.000000,top
"C53","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",0.754734,-1.910024,-90.000000,top
"C54","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",0.680000,2.780000,180.000000,top
"C56","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",-1.245266,-1.910024,90.000000,top
"C57","10u_0402_CL05A105KA5NQNC","C_0402_1005Metric",-0.245266,-1.890024,90.000000,top
"D1","SOD-523_BSD5C051L","D_SOD-523",3.500000,-16.320000,180.000000,top
"D2","SOD-523_BSD5C051L","D_SOD-523",6.300000,-13.925000,0.000000,top
"D3","SOD-523_BSD5C051L","D_SOD-523",6.325000,-11.975000,0.000000,top
"D4","SOD-523_BSD5C051L","D_SOD-523",-6.000000,-14.300000,0.000000,top
"D5","SOD-523_BSD5C051L","D_SOD-523",16.920000,-16.080000,180.000000,top
"D6","SOD-523_BSD5C051L","D_SOD-523",-6.000000,-15.800000,0.000000,top
"D7","ESD9L3.3ST5G","SOD-923_L0.8-W0.6-LS1.0-RD",-19.010000,14.790000,0.000000,top
"FB1","Ferrite_Bead","L_0805_2012Metric",6.937500,24.380000,180.000000,top
"J1","1984617","PHOENIX_1984617",-15.550000,-24.430000,0.000000,top
"J4","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",23.710000,8.370000,0.000000,top
"J10","TF PUSH","TF-SMD_TF-PUSH",-13.300000,0.980000,-90.000000,top
"L2","L","IND-SMD_L3.0-W3.0_FNR30XXS",-13.760000,-9.850000,180.000000,top
"Q1","L8050QLT1G","SOT-23",22.537500,-11.850000,0.000000,top
"Q2","L8050QLT1G","SOT-23",22.537500,-15.350000,0.000000,top
"R1","0.5R","R_0603_1608Metric",-11.000000,-14.145000,90.000000,top
"R3","10K","R_0402_1005Metric",-19.200000,15.880000,180.000000,top
"R5","10K","R_0402_1005Metric",-0.500000,7.070000,-90.000000,top
"R10","5.1K","R_0402_1005Metric",-19.210000,16.980000,0.000000,top
"R11","5.1K","R_0402_1005Metric",6.800100,-16.800000,0.000000,top
"R12","4K7","R_0603_1608Metric",1.637500,19.880000,180.000000,top
"R13","5.1K","R_0402_1005Metric",14.030000,-16.220000,180.000000,top
"R14","5.1K","R_0402_1005Metric",0.720000,-16.120000,-90.000000,top
"R15","5.1K","R_0402_1005Metric",-3.350000,-16.730000,0.000000,top
"R16","10K","R_0402_1005Metric",15.010000,12.080000,180.000000,top
"R17","10K","R_0402_1005Metric",13.010000,12.080000,0.000000,top
"R18","10K","R_0402_1005Metric",11.090000,12.080000,0.000000,top
"R20","10K","R_0402_1005Metric",19.775000,-11.640000,90.000000,top
"R21","10K","R_0402_1005Metric",19.725000,-14.925000,-90.000000,top
"R22","620K","R_0603_1608Metric",0.787500,17.105000,90.000000,top
"R24","10K","R_0402_1005Metric",7.200000,-9.277080,90.000000,top
"R25","10K","R_0402_1005Metric",8.200000,-9.277080,90.000000,top
"R26","10K","R_0402_1005Metric",18.500000,13.320000,-90.000000,top
"R27","4K7","R_0603_1608Metric",-0.762500,17.117500,-90.000000,top
"R29","1K","R_0603_1608Metric",-5.400000,-11.300000,90.000000,top
"R32","130K","R_0603_1608Metric",-2.362500,20.592500,-90.000000,top
"R33","130K","R_0603_1608Metric",-4.112500,22.317500,90.000000,top
"R34","75","R_0402_1005Metric",-9.590000,14.180000,0.000000,top
"R35","4K7","R_0603_1608Metric",-18.634375,11.305000,90.000000,top
"SW1","TS36CA-0.7","SW-SMD_TS36CA",-21.800000,13.070000,-90.000000,top
"SW3","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",-13.500000,23.680000,180.000000,top
"SW6","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",-13.500000,20.080000,0.000000,top
"SW7","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",22.100000,13.480000,0.000000,top
"SW8","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",22.100000,16.880000,0.000000,top
"U2","CH340X","MSOP-10_3x3mm_P0.5mm",-2.800000,-10.787500,90.000000,top
"U3","CH340X","MSOP-10_3x3mm_P0.5mm",10.950000,-12.975000,0.000000,top
"U4","LMP7731MF","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",4.887500,17.667500,0.000000,top
"U5","B0505S-1W_C512032","PWRM-TH_BXXXXS-1W",14.672500,19.380000,90.000000,top
"U9","AP63203WU","TSOT-23-6",-18.262500,-10.270000,0.000000,top
"U12","MAX9814","DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm",-5.212500,18.947500,0.000000,top
"U13","STM32F301K8Ux","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",-13.734375,13.345625,90.000000,top
"U14","ESP32-S3-WROOM-1U-N8R8","XCVR_ESP32-S3-WROOM-1U-N8R8",11.500000,1.780000,90.000000,top
"U15","XC6206P282MR-G","SOT-23_TOR",-2.600000,0.280000,180.000000,top
"U16","XC6206P122MR-G","SOT-23_TOR",-2.785982,5.768707,180.000000,top
"USB1","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-6PIN-2MD-073",-1.020000,-20.540000,0.000000,top
"USB2","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-6PIN-2MD-073",10.880100,-20.540000,0.000000,top
